travelCosts,improvements,steps,pI,pR
108.8964534375587,0.0,0,0.01,0.001
108.72039118706634,0.36918790444349703,20,0.01,0.001
108.67437092566745,0.38087231888267314,40,0.01,0.001
97.62015545119382,0.0,0,0.01,0.002
97.51297573467654,0.019035452073112143,20,0.01,0.002
97.39940954238152,0.04238964331344222,40,0.01,0.002
99.07547142007618,0.0,0,0.01,0.004
99.07770841635192,0.000957067939918105,20,0.01,0.004
99.07547142007618,0.0,40,0.01,0.004
123.73370054528681,0.0,0,0.01,0.008
123.73370054528681,0.0,20,0.01,0.008
123.73370054528681,0.0,40,0.01,0.008
118.78748997986001,0.0,0,0.02,0.001
118.64188278486606,2.788883811549934,20,0.02,0.001
118.59115122013027,3.0178833644672545,40,0.02,0.001
73.68489049202554,0.0,0,0.02,0.002
73.60343095495492,0.7409153315717892,20,0.02,0.002
73.53829943591526,0.8853600533773844,40,0.02,0.002
102.34768283970564,0.0,0,0.02,0.004
102.25222284173832,0.04247502816088747,20,0.02,0.004
102.10785387450468,0.1135272087661941,40,0.02,0.004
134.5127837157993,0.0,0,0.02,0.008
134.5127837157993,0.0,20,0.02,0.008
134.5127837157993,0.0,40,0.02,0.008
93.6326780300532,0.0,0,0.04,0.001
93.28892119568401,12.784564509646465,20,0.04,0.001
93.01760057616255,17.36404606017192,40,0.04,0.001
104.96579572336033,0.0,0,0.04,0.002
104.69013776689978,5.395382186438982,20,0.04,0.002
104.78211901813779,6.008253017180271,40,0.04,0.002
121.37913092069617,0.0,0,0.04,0.004
121.13382640004262,2.2741685729523295,20,0.04,0.004
121.06765328371063,1.6950440269813707,40,0.04,0.004
119.3043157128871,0.0,0,0.04,0.008
119.16019080915521,0.0849993385677805,20,0.04,0.008
119.11987299215635,0.31852542178337984,40,0.04,0.008
87.20672528799216,0.0,0,0.08,0.001
86.35319484398187,37.13502478292732,20,0.08,0.001
85.4866141248572,61.04108983818601,40,0.08,0.001
126.27342092149453,0.0,0,0.08,0.002
125.63907983581065,25.643279133911733,20,0.08,0.002
125.30080485026896,31.203741254628138,40,0.08,0.002
79.0242224412483,0.0,0,0.08,0.004
78.85439003265955,11.236150987461386,20,0.08,0.004
78.54515763324824,14.110222538551037,40,0.08,0.004
82.3965796210658,0.0,0,0.08,0.008
82.27248812472992,2.9247434988217713,20,0.08,0.008
82.10184789656698,3.750557474270127,40,0.08,0.008
